Time,Channel A
(s),(V)

-0.23812007,1.93487300
-0.23810007,1.93487300
-0.23808007,1.93487300
-0.23806007,1.88985900
-0.23804007,1.84484400
-0.23802007,1.88985900
-0.23800007,1.88985900
-0.23798007,1.84484400
-0.23796007,1.84484400
-0.23794007,1.88985900
-0.23792007,1.93487300
-0.23790007,1.97988800
-0.23788007,1.88985900
-0.23786007,1.93487300
-0.23784007,1.93487300
-0.23782007,1.93487300
-0.23780007,1.88985900
-0.23778007,1.93487300
-0.23776007,1.93487300
-0.23774007,1.93487300
-0.23772007,1.88985900
-0.23770007,1.93487300
-0.23768007,1.93487300
-0.23766007,1.84484400
-0.23764007,1.84484400
-0.23762007,1.93487300
-0.23760007,1.84484400
-0.23758007,1.88985900
-0.23756007,1.84484400
-0.23754007,1.84484400
-0.23752007,1.88985900
-0.23750007,1.88985900
-0.23748007,1.88985900
-0.23746007,1.88985900
-0.23744007,1.88985900
-0.23742007,1.93487300
-0.23740007,1.88985900
-0.23738007,1.93487300
-0.23736007,1.88985900
-0.23734007,1.88985900
-0.23732007,1.84484400
-0.23730007,1.88985900
-0.23728007,1.84484400
-0.23726007,1.84484400
-0.23724007,1.88985900
-0.23722007,1.88985900
-0.23720007,1.84484400
-0.23718007,1.88985900
-0.23716007,1.88985900
-0.23714007,1.93487300
-0.23712007,1.93487300
-0.23710007,1.88985900
-0.23708007,1.93487300
-0.23706007,1.93487300
-0.23704007,1.93487300
-0.23702007,1.88985900
-0.23700007,1.88985900
-0.23698007,1.93487300
-0.23696007,1.93487300
-0.23694007,1.88985900
-0.23692007,1.93487300
-0.23690007,1.93487300
-0.23688007,1.88985900
-0.23686007,1.88985900
-0.23684007,1.93487300
-0.23682007,1.88985900
-0.23680007,1.93487300
-0.23678007,1.93487300
-0.23676007,1.93487300
-0.23674007,1.93487300
-0.23672007,1.93487300
-0.23670007,1.93487300
-0.23668007,1.88985900
-0.23666007,1.93487300
-0.23664007,1.88985900
-0.23662007,1.88985900
-0.23660007,1.88985900
-0.23658007,1.84484400
-0.23656007,1.88985900
-0.23654007,1.88985900
-0.23652007,1.84484400
-0.23650007,1.88985900
-0.23648007,1.84484400
-0.23646007,1.88985900
-0.23644007,1.93487300
-0.23642007,1.88985900
-0.23640007,1.88985900
-0.23638007,1.88985900
-0.23636007,1.88985900
